image,net,correct,size,intersections,unsnapped_nearby
circuit_1194.jpg,n9,1,3,2,0
circuit_1194.jpg,n7,0,5,7,0
circuit_1194.jpg,n4,1,3,2,0
circuit_1194.jpg,n2,1,3,3,0
circuit_1194.jpg,n3,0,3,2,0
circuit_1194.jpg,n8,0,2,0,0
circuit_1194.jpg,0,0,2,1,0
circuit_1194.jpg,n11,0,3,2,0
circuit_1194.jpg,n6,0,2,0,0
circuit_1194.jpg,n1,1,3,1,0
circuit_1194.jpg,n16,0,2,1,0
circuit_1194.jpg,n13,1,3,2,0
circuit_1194.jpg,n14,1,3,2,0
circuit_1194.jpg,n15,0,2,0,0
circuit_1194.jpg,n5,1,3,5,0
circuit_1201.jpg,n4,0,2,1,0
circuit_1201.jpg,n8,1,2,0,0
circuit_1201.jpg,n10,0,3,3,0
circuit_1201.jpg,n9,1,2,0,0
circuit_1201.jpg,n14,0,3,11,0
circuit_1201.jpg,n11,1,3,1,0
circuit_1201.jpg,0,0,8,15,0
circuit_1201.jpg,n2,0,1,0,0
circuit_1201.jpg,n6,0,5,5,0
circuit_1201.jpg,n3,0,3,2,0
circuit_1201.jpg,n1,0,2,1,0
circuit_1201.jpg,n7,1,4,1,0
circuit_1201.jpg,n12,1,2,2,0
circuit_1201.jpg,n13,1,2,0,0
circuit_1201.jpg,n5,1,3,1,0
circuit_1201.jpg,n15,1,2,1,0
circuit_1202.jpg,n2,1,5,4,0
circuit_1202.jpg,0,1,6,7,0
circuit_1202.jpg,n1,1,2,1,0
circuit_1203.jpg,0,1,5,16,0
circuit_1203.jpg,n3,1,3,12,0
circuit_1203.jpg,n1,1,2,1,0
circuit_1203.jpg,n2,1,3,2,0
circuit_1204.jpg,n1,1,3,2,0
circuit_1204.jpg,0,1,4,3,0
circuit_1204.jpg,n2,1,4,6,0
circuit_1204.jpg,n3,1,2,1,0
circuit_1205.jpg,0,1,4,6,0
circuit_1205.jpg,n1,1,2,0,0
circuit_1205.jpg,n3,1,2,1,0
circuit_1205.jpg,n2,1,3,2,0
circuit_1209.jpg,n1,0,13,33,0
circuit_1209.jpg,n2,0,4,5,0
circuit_1209.jpg,0,0,8,20,0
circuit_1209.jpg,n3,1,2,5,0
circuit_1233.jpg,n9,0,7,16,0
circuit_1233.jpg,n8,1,2,2,0
circuit_1233.jpg,n5,1,2,1,0
circuit_1233.jpg,n2,0,3,5,0
circuit_1233.jpg,n1,0,4,4,0
circuit_1233.jpg,n4,0,4,4,0
circuit_1233.jpg,n7,1,3,1,0
circuit_1233.jpg,n6,1,3,1,0
circuit_1233.jpg,n3,0,4,3,0
circuit_1233.jpg,0,0,2,0,0
circuit_1239.jpg,n3,1,3,1,0
circuit_1239.jpg,n2,1,4,1,0
circuit_1239.jpg,n1,1,3,2,0
circuit_1239.jpg,n4,0,3,1,0
circuit_1239.jpg,0,0,4,3,0
circuit_1241.jpg,n8,1,2,3,0
circuit_1241.jpg,n6,1,4,1,0
circuit_1241.jpg,n11,1,3,4,0
circuit_1241.jpg,n5,1,2,0,0
circuit_1241.jpg,n9,1,3,4,0
circuit_1241.jpg,0,1,6,5,0
circuit_1241.jpg,n3,1,2,3,0
circuit_1241.jpg,n2,1,5,4,0
circuit_1241.jpg,n7,1,3,2,0
circuit_1241.jpg,n10,1,2,2,0
circuit_1241.jpg,n12,1,2,1,0
circuit_1241.jpg,n4,1,5,16,0
circuit_1241.jpg,n1,1,3,3,0
circuit_1241.jpg,n13,1,2,0,0
circuit_1243.jpg,n7,0,5,11,0
circuit_1243.jpg,n11,0,3,4,1
circuit_1243.jpg,n12,0,2,1,0
circuit_1243.jpg,n1,1,3,3,0
circuit_1243.jpg,n2,1,3,2,0
circuit_1243.jpg,n6,0,2,1,0
circuit_1243.jpg,n14,0,3,2,0
circuit_1243.jpg,n13,0,3,3,0
circuit_1243.jpg,n15,0,2,1,0
circuit_1243.jpg,n4,1,3,2,0
circuit_1243.jpg,n3,1,3,1,0
circuit_1243.jpg,n10,0,3,2,0
circuit_1243.jpg,n9,0,3,1,0
circuit_1243.jpg,0,0,2,1,0
circuit_1243.jpg,n8,0,2,0,0
circuit_1243.jpg,n5,1,3,2,0
circuit_1244.jpg,n1,1,3,4,0
circuit_1244.jpg,n8,0,2,0,0
circuit_1244.jpg,n14,0,4,2,0
circuit_1244.jpg,n17,0,2,0,0
circuit_1244.jpg,n16,0,2,2,0
circuit_1244.jpg,n3,0,3,3,0
circuit_1244.jpg,n4,0,3,2,0
circuit_1244.jpg,n7,0,5,9,0
circuit_1244.jpg,n9,0,3,2,0
circuit_1244.jpg,n10,0,3,2,0
circuit_1244.jpg,n12,0,2,0,0
circuit_1244.jpg,n2,1,3,1,0
circuit_1244.jpg,n5,0,2,1,0
circuit_1244.jpg,n11,0,3,5,0
circuit_1244.jpg,0,0,2,0,0
circuit_1244.jpg,n13,0,2,0,0
circuit_1244.jpg,n6,1,3,5,0
circuit_1244.jpg,n15,0,2,0,0
circuit_125.jpg,0,1,5,7,0
circuit_125.jpg,n1,1,2,1,0
circuit_125.jpg,n4,1,2,1,0
circuit_125.jpg,n2,1,3,1,0
circuit_125.jpg,n3,1,3,1,0
circuit_1252.jpg,n4,0,5,6,0
circuit_1252.jpg,n3,1,2,0,0
circuit_1252.jpg,n13,0,3,4,0
circuit_1252.jpg,n7,1,2,1,0
circuit_1252.jpg,0,0,11,16,0
circuit_1252.jpg,n11,1,3,1,0
circuit_1252.jpg,n9,0,1,1,0
circuit_1252.jpg,n14,0,2,1,0
circuit_1252.jpg,n6,0,4,1,0
circuit_1252.jpg,n12,0,2,1,0
circuit_1252.jpg,n2,1,3,2,0
circuit_1252.jpg,n1,1,3,9,0
circuit_1252.jpg,n8,1,2,1,0
circuit_1252.jpg,n15,1,2,0,0
circuit_1252.jpg,n5,1,3,1,0
circuit_1252.jpg,n10,0,2,0,0
circuit_1256.jpg,0,0,17,15,0
circuit_1256.jpg,n2,0,6,8,0
circuit_1256.jpg,n4,0,8,10,0
circuit_1256.jpg,n1,0,2,0,0
circuit_1256.jpg,n5,1,2,2,0
circuit_1256.jpg,n3,0,2,0,0
circuit_1258.jpg,n1,1,3,6,0
circuit_1258.jpg,0,1,4,5,0
circuit_1258.jpg,n3,1,2,1,0
circuit_1258.jpg,n2,1,3,2,0
circuit_1258.jpg,n4,1,3,7,0
circuit_1262.jpg,0,0,4,11,0
circuit_1262.jpg,n4,1,2,2,0
circuit_1262.jpg,n1,0,2,0,0
circuit_1262.jpg,n2,0,2,0,0
circuit_1262.jpg,n3,0,3,3,0
circuit_1268.jpg,0,0,10,12,0
circuit_1268.jpg,n2,1,4,3,0
circuit_1268.jpg,n1,0,4,5,0
circuit_1268.jpg,n5,1,2,1,0
circuit_1268.jpg,n3,0,5,20,0
circuit_1268.jpg,n4,1,2,1,0
circuit_1272.jpg,n9,0,7,14,0
circuit_1272.jpg,n8,1,2,2,0
circuit_1272.jpg,n5,1,2,1,0
circuit_1272.jpg,n6,1,3,3,0
circuit_1272.jpg,n3,0,4,6,0
circuit_1272.jpg,n1,0,4,3,0
circuit_1272.jpg,n4,0,4,4,0
circuit_1272.jpg,n2,0,3,7,0
circuit_1272.jpg,0,0,2,0,0
circuit_1272.jpg,n7,0,3,1,0
circuit_136.jpg,n3,1,2,0,0
circuit_136.jpg,0,1,5,5,0
