image,c_render_ok,c_unrouted_nets,c_bad_pins,c_foreign_intrusions,A_tp_f1,A_net_f1,A_percomp,B_tp_f1,B_net_f1,B_percomp,C_tp_f1,C_net_f1,C_percomp,D_tp_f1,D_net_f1,D_percomp
circuit_524.jpg,1,0,0,0,1.0,1.0,1.0,0.4375,0.6153846153846153,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_525.jpg,1,0,0,0,0.4105960264900662,0.6966292134831461,0.20833333333333334,0.4689655172413793,0.7951807228915662,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
circuit_537.jpg,1,0,0,0,0.31250000000000006,0.6153846153846154,0.0,0.31250000000000006,0.6153846153846154,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_538.jpg,1,0,0,0,0.3697478991596638,0.6122448979591837,0.21739130434782608,0.43859649122807015,0.673469387755102,0.2608695652173913,1.0,1.0,1.0,1.0,1.0,1.0
circuit_555.jpg,1,0,0,0,0.6,0.8333333333333333,0.0,0.6,0.8333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_560.jpg,1,0,0,0,0.39999999999999997,0.6388888888888888,0.0,0.7741935483870968,0.9142857142857143,0.42105263157894735,0.9253731343283582,0.9722222222222222,0.5789473684210527,1.0,1.0,1.0
circuit_563.jpg,0,0,1,0,0.11881188118811883,0.4411764705882353,0.0,0.17821782178217824,0.4923076923076923,0.0,,,,1.0,1.0,1.0
circuit_575.jpg,1,0,0,0,0.2222222222222222,0.47058823529411764,0.0,0.4444444444444444,0.5882352941176471,0.1,1.0,1.0,1.0,1.0,1.0,1.0
circuit_576.jpg,1,0,0,0,0.3442622950819672,0.5294117647058822,0.0,0.6796116504854369,0.761904761904762,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
circuit_588.jpg,1,0,0,0,0.3619047619047619,0.5106382978723405,0.15384615384615385,0.3619047619047619,0.5106382978723405,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0
circuit_591.jpg,1,0,0,0,0.0625,0.24999999999999994,0.0,0.27586206896551724,0.5384615384615384,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_595.jpg,1,0,0,0,0.22377622377622375,0.36734693877551017,0.0,0.22377622377622375,0.36734693877551017,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_6.jpg,0,0,0,1,0.5806451612903226,0.7142857142857142,0.25,0.787878787878788,0.8571428571428571,0.375,,,,1.0,1.0,1.0
circuit_606.jpg,1,0,0,0,0.4262295081967214,0.6881720430107527,0.18181818181818182,0.45000000000000007,0.6881720430107527,0.22727272727272727,1.0,1.0,1.0,1.0,1.0,1.0
circuit_607.jpg,1,0,0,0,0.6206896551724138,0.8275862068965518,0.375,0.7741935483870969,0.8275862068965518,0.375,1.0,1.0,1.0,1.0,1.0,1.0
circuit_61.jpg,1,0,0,0,0.7999999999999999,0.8947368421052632,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_611.jpg,1,0,0,0,0.6666666666666667,0.7586206896551724,0.125,0.6060606060606061,0.7857142857142856,0.125,1.0,1.0,1.0,1.0,1.0,1.0
circuit_613.jpg,0,2,0,0,0.4335664335664336,0.7710843373493975,0.3333333333333333,0.5070422535211268,0.8433734939759036,0.3333333333333333,,,,1.0,1.0,1.0
circuit_614.jpg,1,0,0,0,0.3333333333333333,0.5833333333333334,0.0,0.3333333333333333,0.5833333333333334,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_618.jpg,1,0,0,0,0.7407407407407408,0.8461538461538461,0.14285714285714285,0.7407407407407408,0.8461538461538461,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
circuit_623.jpg,1,0,0,0,0.47058823529411764,0.7000000000000001,0.0,0.47058823529411764,0.7000000000000001,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_645.jpg,1,0,0,0,0.35294117647058826,0.6666666666666666,0.0,0.7777777777777778,0.8000000000000002,0.375,1.0,1.0,1.0,1.0,1.0,1.0
circuit_649.jpg,1,0,0,0,0.7000000000000001,0.7500000000000001,0.14285714285714285,0.4444444444444444,0.6666666666666667,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
circuit_658.jpg,1,0,0,0,0.7199999999999999,0.7857142857142856,0.375,0.7199999999999999,0.7857142857142856,0.375,1.0,1.0,1.0,1.0,1.0,1.0
circuit_665.jpg,1,0,0,0,0.0,0.39999999999999997,0.0,0.0,0.39999999999999997,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_678.jpg,1,0,0,0,0.3364485981308411,0.5555555555555556,0.0,0.4324324324324324,0.619718309859155,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,1.0
circuit_689.jpg,1,0,0,0,0.1,0.3823529411764706,0.0,0.13333333333333336,0.42424242424242425,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_690.jpg,1,0,0,0,0.8387096774193549,0.8666666666666667,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_707.jpg,1,0,0,0,0.25,0.39999999999999997,0.0,0.25,0.39999999999999997,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_709.jpg,1,0,0,0,0.1627906976744186,0.36,0.0,0.1627906976744186,0.36,0.0,1.0,1.0,1.0,1.0,1.0,1.0
