image,n_gt_nets,tp_precision,tp_recall,tp_f1,unmatched_gt,clean,welded,split,welded+split,lost_terminal,unmatched
circuit_1252.jpg,16,0.5287,0.6667,0.5897,2,9,4,1,1,0,1
circuit_1256.jpg,9,0.189,0.4429,0.265,0,1,0,0,6,0,2
circuit_1258.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_1262.jpg,5,0.1667,0.1667,0.1667,1,1,0,0,4,0,0
circuit_1268.jpg,7,0.5507,0.8444,0.6667,1,3,3,0,0,0,1
circuit_1272.jpg,10,0.6471,0.541,0.5893,2,3,4,1,1,0,1
circuit_136.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_138.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_14.jpg,16,1.0,1.0,1.0,0,16,0,0,0,0,0
circuit_153.jpg,7,0.6522,1.0,0.7895,0,5,1,0,0,0,1
circuit_155.jpg,9,0.9298,0.7681,0.8413,0,7,0,1,1,0,0
circuit_170.jpg,7,1.0,1.0,1.0,0,7,0,0,0,0,0
circuit_178.jpg,3,0.4545,0.4545,0.4545,2,0,3,0,0,0,0
circuit_184.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_185.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_187.jpg,7,0.3974,0.6458,0.4921,1,2,1,0,2,0,2
circuit_19.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_193.jpg,11,0.732,0.8554,0.7889,1,9,2,0,0,0,0
circuit_198.jpg,8,0.7368,0.4516,0.56,0,4,0,1,3,0,0
circuit_205.jpg,9,1.0,0.7846,0.8793,0,8,0,1,0,0,0
circuit_210.jpg,9,0.9216,0.7231,0.8103,0,7,0,1,1,0,0
circuit_215.jpg,9,0.9216,0.7231,0.8103,0,7,0,1,1,0,0
circuit_226.jpg,12,0.5217,0.2264,0.3158,0,4,0,0,8,0,0
circuit_230.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_236.jpg,5,1.0,0.9091,0.9524,0,4,0,0,0,1,0
circuit_238.jpg,7,0.6667,0.8889,0.7619,0,5,1,1,0,0,0
circuit_260.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_263.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_267.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_294.jpg,16,1.0,0.9718,0.9857,0,15,0,1,0,0,0
circuit_297.jpg,15,0.9565,0.8354,0.8919,0,13,0,1,1,0,0
circuit_299.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_300.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_303.jpg,9,0.8906,0.8261,0.8571,0,6,2,1,0,0,0
circuit_312.jpg,6,1.0,0.7083,0.8293,1,5,0,0,0,1,0
circuit_318.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_324.jpg,9,0.9298,0.7681,0.8413,0,7,0,1,1,0,0
circuit_327.jpg,4,0.4211,0.7273,0.5333,0,1,1,0,1,0,1
circuit_328.jpg,13,0.2609,0.12,0.1644,0,2,0,0,11,0,0
circuit_333.jpg,7,0.7407,0.9524,0.8333,0,4,2,0,0,0,1
circuit_337.jpg,16,1.0,1.0,1.0,0,16,0,0,0,0,0
circuit_344.jpg,9,0.451,0.3538,0.3966,2,3,1,0,5,0,0
circuit_35.jpg,7,1.0,1.0,1.0,0,7,0,0,0,0,0
circuit_350.jpg,10,1.0,1.0,1.0,0,10,0,0,0,0,0
